"source_file","source_line_start","source_line_end","target","statement_ordinal","literal","value","upstream_commit"
"scrib.f",59,73,"EXCEPT",66,"70611.",70611,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",67,"70710.",70710,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",68,"70791.",70791,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",69,"80241.",80241,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",70,"80291.",80291,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",71,"80381.",80381,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",72,"80640.",80640,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",73,"80660.",80660,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",74,"80671.",80671,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",75,"80690.",80690,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",76,"80711.",80711,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",77,"80771.",80771,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",1,"80790.",80790,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",2,"80831.",80831,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",3,"90291.",90291,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",4,"90431.",90431,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",5,"90511.",90511,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",6,"90611.",90611,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",7,"90741.",90741,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",8,"100091.",100091,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",9,"100230.",100230,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",10,"100711.",100711,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",11,"100740.",100740,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",12,"100771.",100771,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",13,"100831.",100831,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",14,"100960.",100960,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",15,"101071.",101071,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",16,"110091.",110091,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",17,"110250.",110250,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",18,"110581.",110581,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",19,"110611.",110611,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",20,"110641.",110641,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",21,"110731.",110731,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",22,"120100.",120100,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",23,"130060.",130060,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",24,"130470.",130470,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",25,"130521.",130521,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",26,"130611.",130611,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",27,"130661.",130661,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",28,"130691.",130691,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",29,"130770.",130770,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",30,"130990.",130990,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",74,89,"EXCEPT",31,"140060.",140060,"38548071d5aa652bb90c7f111f86b427f798a1c9"
